TSTimePointResult
Time,Area South Texas Load MW,Area South Texas Load Mvar
220.500000,2709.8770,1148.0894
221.000000,2685.4658,1138.4737
221.500000,2658.5478,1127.8153
222.000000,2620.5675,1112.6901
222.500000,2569.9389,1092.5045
223.000000,2489.0648,1060.1372
223.500000,2415.8344,1031.3806
224.000000,2404.5263,1028.2618
224.500000,2412.7882,1032.7374
225.000000,2303.2284,989.1017
225.500000,2172.6965,937.5987
226.000000,2092.6428,905.8667
226.500000,1974.5951,858.5913
227.000000,1842.7668,805.9683
227.500000,1692.8997,745.3601
228.000000,1409.2985,628.3747
228.500000,810.6108,356.8694
229.000000,1333.2752,597.4975
229.500000,1281.0658,571.2590
230.000000,585.9186,240.6447
230.500000,649.6559,267.3016
230.850000,626.6637,265.9575
230.858333,606.9971,248.0819
230.866667,673.1912,272.6997
230.875000,669.3696,267.3210
231.000000,516.6498,197.4781
231.066667,534.2772,228.5780
231.125000,492.0038,210.8196
231.500000,512.0386,221.3867
232.000000,517.9268,224.9715
232.500000,514.1326,223.2559
233.000000,508.4837,220.2776
233.500000,506.8554,219.6347
234.000000,502.6477,217.6625
234.500000,498.0143,215.4368
235.000000,496.9214,214.8167
235.500000,493.9571,213.1902
236.000000,493.5074,212.6915
236.500000,490.6251,210.8944
237.000000,486.6467,208.4767
237.500000,489.6647,209.9557
238.000000,511.0638,221.4505
238.500000,511.3655,222.3591
239.000000,509.0031,221.1895
239.500000,500.9879,217.2076
240.000000,503.0502,218.0143
240.500000,500.3925,216.5791
241.000000,497.7817,215.2446
241.500000,497.3775,214.9035
242.000000,494.5924,213.3718
242.500000,493.8763,212.8346
243.000000,489.3421,210.3845
243.500000,484.7388,207.7168
244.000000,486.6595,208.7483
244.500000,509.1441,220.8774
245.000000,507.2317,220.6006
245.500000,506.0874,219.9662
246.000000,498.5951,216.1785
246.500000,501.3493,217.2542
247.000000,499.5858,216.2006
247.500000,497.4127,215.0379
248.000000,497.1042,214.7749
248.500000,493.6215,212.9770
249.000000,492.1238,212.1315
249.500000,486.8488,209.3770
250.000000,481.8664,206.5664
250.500000,483.8341,207.6369
251.000000,507.8434,220.5518
251.500000,504.8172,219.5314
252.000000,505.4430,219.6537
252.500000,498.5500,216.1020
253.000000,501.1336,217.1217
253.500000,498.5641,215.8109
254.000000,495.1485,214.1392
254.500000,494.0482,213.5557
255.000000,490.5753,211.7404
255.500000,489.1682,210.8862
256.000000,484.2721,208.2447
256.500000,480.0660,205.7726
257.000000,483.3119,207.4720
257.500000,508.7170,221.1456
258.000000,502.7520,218.5389
258.500000,504.5465,219.2935
259.000000,496.7866,215.4039
259.500000,498.1916,215.8979
260.000000,495.6991,214.6738
260.500000,492.3552,212.9743
261.000000,491.4520,212.4622
261.500000,488.6168,210.9001
262.000000,487.3904,210.0959
262.500000,482.8755,207.5790
263.000000,479.6128,205.5903
263.500000,484.7140,208.3088
264.000000,509.1649,221.6087
264.500000,499.6696,217.1650
265.000000,501.8365,218.1701
265.500000,494.4366,214.4937
266.000000,494.7874,214.4536
266.500000,493.0529,213.5817
267.000000,490.6224,212.1953
267.500000,490.2960,211.8935
268.000000,488.4315,210.7345
268.500000,486.7126,209.6858
269.000000,481.4916,206.8457
269.500000,480.1007,206.0653
270.000000,488.1334,210.5011
270.500000,505.5622,220.2728
271.000000,495.5989,215.4291
271.500000,497.2768,216.1208
272.000000,493.9649,214.3163
272.500000,493.5309,213.7666
273.000000,492.8537,213.4070
273.500000,491.0547,212.3164
274.000000,489.0080,211.2885
274.500000,486.8055,210.0843
275.000000,483.1264,208.1506
275.500000,477.6356,205.1393
276.000000,479.6044,206.1563
276.500000,491.6769,212.6299
277.000000,502.3881,218.8520
277.500000,496.4338,215.8334
278.000000,494.9845,214.9122
278.500000,495.1598,214.8079
279.000000,492.7783,213.4223
279.500000,490.6173,212.4616
280.000000,488.8554,211.4767
280.500000,485.5665,209.8249
281.000000,484.2722,209.0219
281.500000,480.1314,206.7835
282.000000,475.3314,204.0117
282.500000,477.9728,205.3272
283.000000,495.5548,214.7481
283.500000,500.2046,217.8236
284.000000,497.7564,216.5147
284.500000,491.9629,213.5177
285.000000,493.7974,214.2447
285.500000,490.7786,212.6395
286.000000,487.8505,211.2579
286.500000,487.0002,210.7166
287.000000,483.7261,208.9760
287.500000,482.9177,208.3920
288.000000,478.3160,205.8959
288.500000,473.9078,203.2991
289.000000,476.3887,204.5654
289.500000,499.7957,217.2233
290.000000,496.5991,216.1469
290.500000,497.3265,216.3996
291.000000,489.5389,212.4713
291.500000,491.4070,213.1915
292.000000,488.9743,211.9381
292.500000,485.7954,210.3266
293.000000,485.2517,209.9661
293.500000,482.2709,208.3258
294.000000,481.3266,207.6540
294.500000,476.7063,205.0808
295.000000,473.7158,203.2350
295.500000,479.0311,206.0956
296.000000,502.2032,218.7870
296.500000,492.7611,214.3442
297.000000,495.1150,215.4414
297.500000,488.2056,211.9835
298.000000,488.4910,211.8837
298.500000,487.2378,211.2208
299.000000,484.8702,209.8503
299.500000,484.4058,209.4999
300.000000,482.3792,208.2770
300.500000,480.2969,207.0635
301.000000,474.6877,204.0415
301.500000,474.8763,204.1652
302.000000,484.0806,209.2430
302.500000,497.7553,217.0527
303.000000,490.1947,213.2749
303.500000,491.2507,213.5504
304.000000,490.2480,212.8150
304.500000,488.8830,211.8577
305.000000,487.4776,211.2427
305.500000,485.2245,210.0147
306.000000,482.3020,208.5818
306.500000,480.4547,207.5354
307.000000,476.6133,205.4672
307.500000,471.5919,202.6153
308.000000,474.4126,204.0321
308.500000,489.0535,211.8787
309.000000,496.3912,216.3523
309.500000,492.6093,214.3838
310.000000,488.6928,212.2703
310.500000,490.1139,212.7809
311.000000,487.1650,211.1778
311.500000,484.6242,210.0173
312.000000,483.3935,209.2902
312.500000,480.1581,207.6012
313.000000,479.3191,207.0013
313.500000,474.9968,204.6529
314.000000,470.4850,202.0021
314.500000,472.8138,203.1557
315.000000,493.6772,214.4188
315.500000,494.0575,215.2439
316.000000,493.4331,214.8258
316.500000,486.2792,211.1859
317.000000,488.3915,212.0350
317.500000,485.6524,210.6007
318.000000,482.5933,209.1001
318.500000,482.0261,208.7108
319.000000,478.9394,207.0330
319.500000,478.2240,206.4791
320.000000,473.7986,204.0207
320.500000,470.1542,201.7911
321.000000,473.7463,203.6820
321.500000,497.8029,216.7959
322.000000,490.9303,213.7442
322.500000,492.7526,214.5540
323.000000,485.0890,210.7098
323.500000,486.2927,211.0888
324.000000,484.4590,210.1347
324.500000,481.5475,208.5857
325.000000,481.1718,208.2912
325.500000,478.8619,206.9316
326.000000,477.6707,206.1298
326.500000,472.9478,203.5007
327.000000,471.0476,202.3176
327.500000,477.9759,206.1168
328.000000,497.5672,217.0221
328.500000,487.3885,212.1370
329.000000,489.4800,213.0909
329.500000,484.6897,210.5933
330.000000,484.7609,210.3002
330.500000,484.3015,209.9979
331.000000,482.3716,208.8253
331.500000,481.0893,208.1399
332.000000,478.8778,206.8909
332.500000,475.8527,205.2569
333.000000,470.3454,202.2380
333.500000,472.3952,203.2938
334.000000,483.6284,209.3915
334.500000,493.8507,215.4055
335.000000,488.1363,212.5259
335.500000,486.7846,211.6231
336.000000,487.4873,211.7182
336.500000,485.3968,210.4403
337.000000,483.5797,209.6326
337.500000,481.8147,208.6407
338.000000,478.5929,207.0270
338.500000,477.1491,206.1588
339.000000,472.9146,203.8609
339.500000,468.0195,201.0340
340.000000,470.3478,202.1788
340.500000,490.3060,212.9589
341.000000,491.7909,214.3360
341.500000,491.3579,213.9896
342.000000,484.6180,210.5079
342.500000,487.0696,211.5019
343.000000,484.4035,210.0874
343.500000,481.2643,208.5698
344.000000,480.5625,208.1305
344.500000,477.2786,206.3610
345.000000,476.3875,205.7286
345.500000,471.5714,203.0981
346.000000,467.9774,200.9473
346.500000,472.4145,203.3100
347.000000,496.1264,216.2363
347.500000,488.3735,212.6213
348.000000,491.1109,213.8484
348.500000,484.2736,210.3766
349.000000,485.0765,210.5508
349.500000,483.3377,209.6886
350.000000,480.1695,208.0294
350.500000,479.3261,207.5479
351.000000,476.9343,206.1668
351.500000,475.3379,205.1727
352.000000,470.7053,202.5518
352.500000,470.3279,202.1510
353.000000,478.9783,206.7998
353.500000,496.3158,216.4838
354.000000,487.2313,212.0629
354.500000,488.8891,212.7649
355.000000,485.1239,210.8029
355.500000,483.5815,209.8274
356.000000,482.2248,209.2031
356.500000,480.0601,207.9511
357.000000,478.4522,207.0752
357.500000,477.2885,206.2623
358.000000,474.7445,204.7733
358.500000,470.2205,202.1582
359.000000,472.7700,203.4272
359.500000,484.4691,209.7557
360.000000,494.1646,215.5461
360.500000,487.8386,212.4406
361.000000,485.4051,211.1098
361.500000,485.3708,210.9169
362.000000,483.1199,209.5570
362.500000,481.8486,208.9304
363.000000,481.0551,208.3138
363.500000,478.4616,206.9477
364.000000,477.3596,206.2423
364.500000,473.1884,204.0031
365.000000,468.3744,201.2295
365.500000,470.7589,202.4102
366.000000,489.3520,212.4569
366.500000,491.9782,214.4854
367.000000,490.4490,213.6271
367.500000,484.1119,210.3424
368.000000,486.5806,211.3302
368.500000,483.9359,209.8955
369.000000,481.0973,208.5263
369.500000,480.5212,208.1197
370.000000,477.4031,206.4337
370.500000,476.6612,205.8786
371.000000,472.0367,203.3579
371.500000,467.9744,200.9471
372.000000,471.0783,202.5755
372.500000,494.9605,215.5579
373.000000,489.4710,213.1938
373.500000,491.3032,213.9674
374.000000,483.9847,210.2477
374.500000,485.7085,210.8687
375.000000,483.6815,209.8269
375.500000,480.5482,208.2184
376.000000,479.9635,207.8483
376.500000,477.3300,206.3591
377.000000,476.1706,205.5888
377.500000,471.6855,203.0741
378.000000,469.2132,201.5051
378.500000,475.2691,204.7555
379.000000,497.4627,216.9462
379.500000,488.0292,212.4257
380.000000,490.6937,213.6373
380.500000,484.5391,210.5279
381.000000,484.4215,210.2609
381.500000,482.7685,209.4680
382.000000,480.1169,208.0085
382.500000,479.4547,207.5685
383.000000,478.1202,206.6365
383.500000,476.7203,205.6953
384.000000,472.4409,203.2483
384.500000,472.0953,202.8590
385.000000,480.2740,207.3397
385.500000,496.4285,216.5617
386.000000,487.1256,212.0450
386.500000,488.6089,212.6916
387.000000,485.0076,210.7204
387.500000,485.0764,210.3699
388.000000,484.4086,210.0291
388.500000,482.4465,208.8976
389.000000,480.6247,207.9531
389.500000,479.2539,207.0918
390.000000,476.1512,205.4271
390.500000,471.2799,202.7262
391.000000,471.9209,203.0115
391.500000,482.0606,208.5080
392.000000,495.8486,216.3663
392.500000,487.7780,212.2880
393.000000,489.0519,212.6767
393.500000,487.8246,211.8487
394.000000,486.5274,210.9623
394.500000,484.8988,210.2367
395.000000,482.9100,209.1299
395.500000,480.2888,207.8279
396.000000,478.8832,206.9776
396.500000,475.6541,205.2014
397.000000,471.6072,202.8491
397.500000,472.5115,203.2304
398.000000,483.2677,208.9716
398.500000,497.6076,217.0644
399.000000,489.4641,212.9605
399.500000,490.2277,213.1716
400.000000,488.2853,212.0622
400.500000,486.5213,210.9980
401.000000,484.6233,210.1581
401.500000,482.7045,209.0693
402.000000,480.6591,207.9628
402.500000,479.9533,207.3756
403.000000,476.2597,205.4121
403.500000,472.8474,203.3617
404.000000,473.2157,203.4348
404.500000,482.8864,208.6127
405.000000,499.5495,217.8535
405.500000,490.4459,213.3258
406.000000,491.2861,213.6659
406.500000,487.8710,211.8953
407.000000,486.6601,211.0790
407.500000,485.1187,210.3666
408.000000,483.2743,209.2756
408.500000,481.4281,208.2907
409.000000,480.3863,207.5903
409.500000,477.7446,206.0967
410.000000,474.2902,204.0188
410.500000,473.3645,203.3252
411.000000,481.9957,207.9475
411.500000,500.9470,218.4928
412.000000,490.6839,213.4554
412.500000,492.5034,214.2588
413.000000,487.7484,211.8438
413.500000,486.8600,211.2019
414.000000,485.2808,210.4455
414.500000,483.7207,209.4475
415.000000,482.9959,208.9318
415.500000,482.4619,208.3839
416.000000,480.5840,207.2388
416.500000,476.6590,205.0117
417.000000,473.9789,203.5242
417.500000,480.5923,207.2135
418.000000,500.9509,218.5424
418.500000,490.3963,213.3794
419.000000,492.8707,214.4457
419.500000,488.2429,211.9894
420.000000,489.0912,212.0838
420.500000,488.0603,211.5316
421.000000,486.5208,210.5291
421.500000,485.0610,209.7674
422.000000,482.4691,208.3845
422.500000,480.4268,207.2451
423.000000,475.9099,204.7766
423.500000,473.0722,203.0863
424.000000,480.2248,206.8414
424.500000,502.4357,219.0189
425.000000,492.5759,214.2204
425.500000,495.6396,215.5601
426.000000,490.5990,212.9227
426.500000,491.0087,212.8819
427.000000,489.1647,212.0114
427.500000,486.5259,210.5891
428.000000,485.1385,209.8608
